Cluster 1/55 connectivity between C_ROI_SFG_l and C_ROI_MidFG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_l and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_r and C_ROI_MidFG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_MidFG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_MidFG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_r and C_ROI_MidFG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_aSMG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_l and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_r and C_ROI_aSMG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_FP_l and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_PaCiG_r and C_ROI_IFGoper_l at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_r and C_ROI_PreCG_r at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_r and C_ROI_MidFG_l at Go_dual,Cluster 1/55 connectivity between C_ROI_SFG_l and C_ROI_aSMG_l at Go_dual,Cluster 2/55 connectivity between C_ROI_SFG_l and C_ROI_FP_l at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_r and C_ROI_FP_l at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_r and C_ROI_SFG_l at Go_dual,Cluster 2/55 connectivity between C_ROI_SMA_r and C_ROI_SFG_r at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_r and C_ROI_SFG_r at Go_dual,Cluster 2/55 connectivity between C_ROI_SMA_r and C_ROI_SFG_l at Go_dual,Cluster 2/55 connectivity between C_ROI_SMA_r and C_ROI_FP_l at Go_dual,Cluster 2/55 connectivity between C_ROI_PaCiG_l and C_ROI_SFG_r at Go_dual,Cluster 2/55 connectivity between C_ROI_SFG_r and C_ROI_FP_l at Go_dual
0.506870,0.667088,0.837364,0.771213,0.558081,1.609276,0.355918,0.768055,0.191276,0.517918,0.993406,1.095724,1.074079,0.414675,0.369931,0.346393,0.536524,1.001101,0.616618,0.325369,0.638401,0.520088,0.539133
0.377516,0.237146,0.463998,0.423530,0.450986,0.314036,0.435602,0.605293,0.610820,0.918493,0.393252,-0.000488,0.378708,0.503609,0.554578,0.555469,0.147507,0.231374,0.023758,0.122708,0.230279,-0.056382,0.249558
0.669111,0.577104,0.204872,0.515873,0.248068,0.880201,0.467284,0.365828,0.488043,-0.009640,0.270066,0.637549,0.272959,0.421911,0.440698,0.168575,0.251024,1.066194,0.015604,0.692733,0.157570,-0.023999,0.202007
0.123058,0.382956,0.421786,0.479213,0.529218,0.928690,0.086600,0.331129,0.341021,0.021278,0.619154,0.365114,0.363382,0.250786,-0.144159,0.078948,0.401500,0.000275,0.513238,0.500819,-0.238722,0.368264,0.345915
0.547323,0.804160,0.819213,0.869392,0.786640,0.529941,0.074476,0.708774,-0.031191,0.741791,0.268320,0.815017,0.674110,0.457605,0.900026,0.652858,0.640327,0.951999,0.720950,0.831379,0.651723,0.851530,0.899922
0.627143,0.456431,0.972673,0.907843,0.726687,1.103322,1.124601,0.638411,1.117572,0.230994,0.802391,0.880388,0.651354,0.742116,1.071226,0.838435,0.684541,0.867583,0.552567,0.784719,0.672034,0.537413,0.505624
0.586635,0.631378,0.271354,0.460038,0.784276,1.088165,0.268793,0.549898,0.289992,0.474489,0.364559,0.830001,0.339298,0.497887,0.597219,0.227729,0.525555,0.556255,0.663537,0.607019,0.404690,0.796225,0.807136
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.350518,1.283928,0.150126,0.495025,0.356538,0.793807,0.789476,0.763789,0.612825,0.537683,0.167179,0.500946,0.292087,0.930261,0.593601,0.077417,0.598420,0.353344,0.314340,0.514560,0.244778,0.298021,0.426586
0.609090,0.496400,0.303071,0.204946,0.262286,0.798356,0.421873,0.393431,0.467068,-0.007511,0.221122,0.608105,0.721869,0.666945,0.152761,-0.174194,0.385753,0.872026,0.640459,0.582792,0.076580,0.248322,0.188404
0.535815,0.692904,0.606844,0.378440,0.354924,0.858810,0.057379,0.333056,0.409785,0.079315,0.305201,0.706825,0.327108,0.709786,0.420971,0.076474,0.792717,0.794281,0.778686,0.373141,-0.015926,0.103599,0.481146
0.747885,0.484033,0.907702,0.683578,0.579799,1.050650,0.220471,0.528958,0.161922,0.676222,0.421853,0.505148,0.886526,-0.209400,0.634173,0.614502,0.680534,1.035537,0.851883,0.837885,0.540308,0.766896,0.566419
-0.010783,-0.172429,-0.293860,-0.015272,0.122125,0.188743,0.102380,0.093043,0.517066,0.041455,-0.022085,-0.123846,0.222052,-0.160620,-0.007659,-0.396784,-0.066656,0.061423,-0.008201,0.472628,-0.355586,-0.014216,-0.008645
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.484720,-0.031770,0.545876,0.697247,0.559688,1.060165,0.384835,0.244875,0.201430,-0.055149,0.303290,0.384271,0.572218,0.191490,0.752586,0.314163,0.302807,0.389763,0.440476,0.172719,0.070130,0.584711,0.391322
0.698864,0.607726,0.698725,0.546096,0.541736,0.890708,0.029929,0.488805,0.245272,0.500574,0.459623,0.749019,0.495423,0.304489,0.641851,0.494677,0.720249,0.628829,0.727122,0.552523,0.206740,0.473773,0.409807
0.241693,0.173736,0.692219,0.756522,0.814938,0.406049,0.227934,0.720099,0.548473,0.344179,0.362564,0.522104,0.170297,-0.236327,0.119021,0.456912,0.016221,0.210020,0.304597,0.423272,0.296427,0.243107,0.315430
0.694849,0.611692,0.745457,0.769882,0.471355,0.883724,0.293725,0.305571,0.249487,0.364460,0.283411,0.805523,0.404579,0.369398,0.461622,0.447834,0.877492,0.997775,0.694530,0.822381,0.046285,0.709850,0.237071
0.285351,0.194760,-0.169084,-0.086841,0.298611,0.455101,-0.333477,0.371427,-0.398052,-0.069983,0.139118,0.251833,0.139899,0.220892,-0.118525,-0.641631,0.093016,0.355958,0.092898,0.202316,-0.001050,-0.054136,0.199186
0.228220,0.251272,0.457005,0.491021,0.620858,0.954965,0.308361,0.420034,0.490782,0.003818,0.582726,0.313570,0.518370,0.075780,0.027175,0.139001,0.299300,0.076649,0.579742,0.426847,-0.094903,0.470851,0.408661
0.499452,0.288134,0.057036,0.004359,0.337832,0.776986,0.139072,0.243087,0.306741,0.426291,-0.207804,0.360739,0.634937,0.206231,0.185216,0.135693,0.237525,0.362710,0.117148,0.503555,-0.259722,0.071548,0.329879
0.429883,0.493975,0.134548,0.158609,0.070421,0.770963,0.311355,-0.028924,0.313001,-0.020887,0.467175,0.487134,0.781501,0.136428,0.397138,0.120402,-0.166616,0.280995,0.130401,0.153725,0.018186,0.237557,0.436566
0.243066,-0.008489,0.456378,0.271943,0.584255,0.445361,0.097853,0.312251,0.190071,0.059702,0.344517,-0.102562,0.504312,-0.071682,0.024395,0.098541,0.280897,0.039194,0.373815,0.169044,0.101201,0.257376,0.332074
-0.046039,-0.081758,0.307045,0.643308,-0.263934,0.696961,-0.198451,-0.060607,0.015354,0.164089,0.169578,0.468135,-0.070851,0.213039,-0.231491,0.245751,-0.059249,0.115919,-0.145843,0.082250,0.053568,-0.091983,-0.022832
0.518838,0.580558,0.264154,0.244349,0.223179,0.337565,0.197075,0.320640,0.211293,0.175706,0.346074,0.336811,-0.026351,-0.182471,0.054900,0.526535,0.500807,0.850538,0.312758,1.025431,0.104163,-0.062178,0.013884
-0.058355,-0.103178,0.093351,0.400916,0.196441,0.428696,0.227805,0.030519,0.350362,-0.407662,0.071099,0.297950,-0.069772,0.183546,0.361418,0.203993,-0.108275,0.419572,0.270393,0.061032,-0.274093,0.341575,0.198218
0.753370,-0.279272,0.465218,0.141197,0.122444,0.873782,-0.109416,-0.318204,0.136350,0.080654,0.392918,-0.158645,0.570886,-0.168754,-0.024019,0.026233,0.223336,-0.244867,0.394508,-0.102460,-0.323865,0.245052,-0.138695
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.152265,0.199674,0.023787,-0.072959,-0.009562,0.104383,-0.077436,-0.021906,-0.262751,-0.091076,0.002686,0.103975,0.102972,-0.002100,0.047955,-0.383365,-0.211406,0.133774,-0.271714,0.353171,0.049180,-0.021490,0.092107
0.369629,0.409314,-0.011437,0.200274,0.203426,0.390176,0.305906,0.237745,0.101132,0.184009,-0.074136,0.354402,-0.288503,0.137463,-0.011139,-0.135940,0.604198,0.645296,0.726210,0.470098,-0.453694,0.474770,-0.025347
0.046017,0.242932,0.193075,0.520579,0.147079,0.574399,0.418541,-0.035100,-0.059958,0.157464,-0.130275,0.258507,0.139616,0.118933,0.173430,0.181555,-0.013631,0.622715,0.319421,0.497032,0.149293,0.107543,0.265281
0.112425,0.165657,-0.388710,-0.355460,-0.250342,0.275042,-0.009515,-0.135982,0.265850,-0.188971,-0.522346,0.253947,0.281264,0.111119,0.081068,-0.183486,0.279383,0.118561,-0.201002,0.268436,-0.392704,0.012237,0.279030
0.588076,0.241085,0.411989,0.468057,0.508832,0.766846,0.211349,-0.022113,0.379026,0.066624,0.088160,0.418533,0.520411,0.101564,-0.146517,-0.001914,0.355891,0.617976,0.326659,0.060035,0.138100,0.373406,0.216473
0.491009,0.464066,0.076300,0.265856,0.386876,0.904678,0.180019,0.398198,0.021252,0.105638,0.000237,0.308145,0.595545,0.373407,0.597424,0.209904,-0.209784,0.115077,0.216202,-0.014921,-0.135578,0.122120,0.578371
0.654603,0.527284,0.402093,0.399054,0.895948,0.816985,0.414449,0.637246,0.327458,0.278177,0.732241,0.734969,0.210116,0.177114,0.374309,0.679004,0.463797,0.688792,0.500376,0.640442,0.255514,0.492726,0.307635
0.780306,0.907155,0.108266,0.352614,0.291776,0.888071,0.031261,0.195982,0.305967,0.860139,0.062530,0.568740,0.053069,0.643571,0.512070,0.325751,0.487017,0.353205,0.360184,0.580757,0.222834,0.236937,0.487900
0.624331,0.757663,0.617060,0.516755,0.252344,0.674948,0.435833,0.246141,0.336640,0.226947,0.417728,0.673043,0.320964,0.673062,0.127975,0.473570,0.584524,0.561825,0.429838,0.517395,0.179413,0.090645,0.036850
0.297980,0.599448,-0.068230,0.283979,0.367687,0.516252,-0.097437,0.531156,-0.047144,-0.240956,0.037134,0.399271,0.104842,0.252434,0.140532,-0.357707,0.372940,0.416183,0.491608,0.514645,0.063310,0.191348,-0.098130
0.864403,0.391650,0.637850,0.589188,0.297713,0.782829,0.222031,0.231183,0.376932,0.180772,0.357157,0.369896,0.392962,0.595044,0.568304,0.448033,0.718577,0.664955,0.707269,0.629718,0.348891,0.313231,0.477576
0.677284,0.340910,0.549495,0.804164,0.379532,0.811446,0.587311,0.532391,0.665640,0.291147,0.511513,0.348565,0.375725,0.579335,0.389642,0.354547,0.426820,0.577469,0.448626,0.605153,0.093573,0.403434,0.202750
0.370060,0.162633,0.381856,0.155238,0.441994,0.592730,-0.070863,0.194543,-0.105631,-0.152819,-0.038882,0.564991,0.415576,0.011771,0.554516,0.061691,0.442416,0.319927,0.882097,0.334505,0.035614,0.315783,0.255062
0.057562,0.048233,-0.031876,0.104276,0.083292,0.485543,0.083380,0.153515,-0.053575,-0.212105,-0.107830,0.335145,0.294276,0.094730,-0.214440,0.021505,-0.041459,0.287082,-0.088218,0.278656,-0.205778,0.004279,-0.207402
0.483366,0.111945,0.407211,0.459517,0.174334,1.053702,0.304735,0.271118,0.021879,0.258533,0.582222,0.501660,0.333508,-0.167022,0.233578,0.322245,0.152812,0.299255,0.293003,0.531873,0.326789,0.124801,0.132647
0.216657,-0.231092,0.212709,-0.049613,0.024838,0.469180,-0.139623,-0.005023,0.246599,-0.106753,0.196038,-0.116540,0.237593,0.461528,0.097589,-0.183689,-0.008105,-0.250529,0.032704,-0.286888,-0.374147,-0.162779,0.185224
0.189741,0.263139,0.220771,0.246488,0.138198,0.442699,-0.402897,0.311797,0.066868,-0.178982,0.278509,0.414270,0.063736,-0.240633,-0.267949,0.048864,-0.272041,0.117924,-0.049808,0.101749,0.107423,-0.018746,-0.080216
0.575282,0.313311,0.146857,0.697530,0.253390,0.563044,-0.210149,0.291850,0.056498,-0.151978,0.036442,0.100370,0.548579,0.050955,0.017521,0.145846,0.207089,0.086639,0.184052,0.395964,-0.319269,0.378732,0.169139
0.725101,0.678466,0.549359,0.647564,0.520405,0.966420,-0.272307,0.628348,-0.412752,0.552357,0.194133,0.716855,0.658158,-0.221211,0.420570,0.428079,0.150408,0.695735,0.179600,0.505221,0.502695,0.315076,0.378313
0.763514,0.771329,0.478839,1.102463,0.618820,0.938870,0.804379,0.584932,0.585060,0.191098,0.492245,0.553600,0.724573,0.780455,0.402524,0.483522,0.532953,0.610174,0.751845,0.596474,0.409314,0.572229,0.364908
0.410260,0.615848,0.556578,0.247171,0.219831,0.863610,0.055575,0.080694,0.442772,0.195747,-0.000914,0.748142,0.810693,0.765798,0.486758,0.029185,0.447812,0.708307,0.687157,0.745451,0.269502,0.383056,0.159946
0.582623,0.630276,0.580937,0.705863,0.881888,0.849653,0.301489,0.676186,0.093050,-0.155342,0.415374,0.661561,0.836800,0.237738,-0.061000,0.066196,0.639588,0.560468,0.663637,0.864756,-0.146047,0.763315,0.092360
0.236766,0.308129,0.268479,-0.042115,0.091557,0.762881,-0.248027,0.204634,0.104309,0.150566,0.304544,0.305441,0.508410,-0.089000,0.646403,0.449921,0.525224,0.447133,0.680891,0.610552,0.440018,0.392522,0.396858
0.573041,0.339265,0.442759,0.407658,0.324670,0.646435,0.293214,0.194190,0.180937,-0.038032,0.848264,0.355285,0.248660,0.373767,0.310857,-0.052786,0.086259,0.896006,0.222416,0.726712,0.076325,0.154295,0.392667
0.539925,0.999637,0.800730,0.854913,0.895601,0.648377,0.408767,0.970399,0.420415,0.277187,0.386803,1.060826,0.533106,0.343558,0.301892,0.608399,0.537770,1.066812,0.681696,1.101864,0.152697,0.872417,0.311594
0.568900,0.332925,0.326625,0.599075,0.389037,0.566490,0.692316,0.305021,0.390378,-0.092526,0.192783,0.049661,0.164260,0.601091,-0.168290,0.016598,0.561280,0.331314,0.248315,0.289064,0.273045,0.305229,0.336491
0.802854,0.584523,0.252138,0.532441,0.519480,1.205693,0.478782,0.599704,0.178926,0.574518,0.280011,0.956370,0.578976,0.553788,0.789899,0.085556,0.064679,0.941036,0.274006,0.648756,0.292667,0.661921,0.694072
0.344161,0.412182,0.603836,0.987559,0.748494,0.621454,0.829704,0.589749,0.595285,0.903939,0.432254,0.522424,0.733955,0.560700,0.393489,0.750405,0.245741,0.567621,0.420156,0.305092,0.826851,0.604323,0.657992
0.088507,-0.076554,-0.296256,-0.058283,0.070671,0.488492,0.067319,0.020166,-0.163401,0.260875,-0.241082,0.370596,0.122091,0.131511,-0.427842,-0.163215,0.105700,0.685958,0.003483,0.612731,-0.261904,-0.106844,-0.128244
0.421305,0.784033,0.656420,0.671855,0.733199,1.224178,0.448906,0.671879,0.512778,0.526253,0.376993,1.045647,1.059456,0.569049,0.620326,0.509110,0.486818,0.889532,0.742278,0.974383,0.539815,0.540441,0.792246
0.647782,0.558786,0.160751,0.171548,0.066862,0.837211,0.278542,0.380135,0.378846,0.366564,-0.063771,0.461015,0.569968,0.531142,0.206465,0.349801,0.257006,0.340902,0.272199,0.252527,-0.200676,0.266465,0.494049
0.348192,0.278741,0.433928,0.377578,0.268976,0.595389,0.492896,0.132375,0.587250,0.002360,0.326868,0.480879,0.547308,0.283739,0.277702,0.262009,0.193924,0.734510,0.147478,0.787077,0.057746,-0.066558,0.301178
0.574149,0.515322,0.973466,1.127661,0.293470,0.567389,0.329041,0.218950,0.331509,0.266595,0.327469,0.453857,0.632446,0.708148,0.507138,0.405292,0.629861,0.484996,0.606391,0.681504,0.465459,0.592296,0.792697
0.512042,0.368107,0.392421,0.327728,0.425169,1.042012,0.088886,0.503802,0.448667,0.308701,0.025746,0.433605,1.038998,0.539921,0.881968,0.269008,0.502294,0.906938,0.509824,1.043728,1.103972,0.377332,0.807013
0.371205,0.228556,0.420770,0.582920,0.226411,0.866746,0.294376,0.246544,0.162115,0.198264,0.345133,0.115942,0.615841,0.070044,0.218510,0.266336,-0.103253,0.082912,0.115227,0.009425,0.356377,0.083060,0.025944
