SubjectID,CogS_RT_mean,Cog_RT_median,Cog_RT_Std,Cog_RT_Error,CogDual_RT_mean,CogDual_RT_median,CogDual_RT_Std,CogDual_RT_Error,Dual-task cost_RT_mean,Dual-task cost_RT_median,Dual-task cost_Std
sub-01,0.542834210526315,0.527800000000013,0.0806847751894325,0.0526315789473684,0.605877333333327,0.58929999999998,0.118409668585026,0,11.6136974392028,11.6521409624792,46.7559007347088
sub-02,0.528621126760562,0.518799999999999,0.088180956667026,0,0.687014864864879,0.680849999999964,0.116448936051448,0,29.9635656022619,31.2355435620597,32.0567846538147
sub-03,0.734114516129029,0.710399999999993,0.148381605778374,0.0909090909090909,0.917584444444447,0.883399999999938,0.136052230872009,0,24.9920038746613,24.35247747747,-8.3092340466922
sub-04,0.654394444444444,0.649050000000002,0.0980183841464092,0,0.741753030303027,0.731100000000026,0.158519277371457,0,13.3495304858137,12.6415530390608,61.7240263160002
sub-05,0.604778947368424,0.590500000000048,0.0746150767888783,0,0.646736764705875,0.606250000000045,0.130623088750607,0.0384615384615385,6.93771129435344,2.66723116003315,75.0625937438919
sub-06,0.461442253521124,0.432999999999993,0.114606198613179,0.12,0.61919444444444,0.611249999999984,0.118200926915273,0,34.1867676225046,41.166281755195,3.1365915156358
sub-07,0.47736543209877,0.471299999999985,0.0710612977655443,0,0.536149315068492,0.529099999999971,0.096781312939255,0,12.3142311983662,12.2639507744511,36.1941253290503
sub-08,0.469619354838709,0.460450000000003,0.0609272310884167,0.0606060606060606,0.616231147540986,0.620399999999904,0.0941455142160017,0.0285714285714286,31.2192824234491,34.737756542491,54.5212420360596
sub-09,0.485995774647886,0.48739999999998,0.0656818227444571,0,0.579640625000001,0.559199999999976,0.145297859059316,0.0689655172413793,19.2686552511619,14.731226918342,121.214718149061
sub-10,0.467783582089551,0.458000000000013,0.0686352228617109,0.0689655172413793,0.435082352941178,0.404700000000048,0.107595211485822,0.037037037037037,-6.99067483349859,-11.6375545851448,56.7638407798424
sub-11,0.580467164179097,0.5548,0.101318614443482,0,0.690701408450708,0.670400000000086,0.122055640114262,0.04,18.9906080953787,20.8363374189052,20.4671429674442
sub-12,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
sub-13,0.484430379746837,0.482700000000023,0.057197873715258,0,0.577724050632908,0.571000000000026,0.104357552544725,0,19.2584269662909,18.2929355707478,82.4500558608814
sub-14,0.393505333333333,0.38209999999998,0.0675621273514411,0,0.53344411764706,0.512850000000014,0.0819251084693686,0,35.5621061418212,34.2187908924474,21.2589237209997
sub-15,0.662476056338032,0.641800000000046,0.0982147057141154,0.04,0.659177049180335,0.624699999999962,0.167374953715155,0.147058823529412,-0.49798134228927,-2.66438142724887,70.417405925292
sub-16,0.483408000000002,0.463799999999992,0.0856929098584025,0,0.660817187499998,0.651650000000075,0.216810731265693,0.130434782608696,36.6996796701741,40.5023717119633,153.008949776531
sub-17,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
sub-18,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
sub-19,0.623766666666668,0.641799999999989,0.122597355871433,0.037037037037037,0.591047826086961,0.555200000000013,0.158137124607186,0,-5.24536534703796,-13.4933000934835,28.9890173267876
sub-20,0.475308695652173,0.4556,0.0850968872367921,0.0740740740740741,0.555924324324322,0.560500000000047,0.0783811949959279,0.0454545454545455,16.960688792267,23.0245829675256,-7.89181891245566
sub-21,0.45806973684211,0.453800000000001,0.0469646250412264,0,0.763585714285705,0.78064999999998,0.166174240915022,0.125,66.6963898444358,72.0251211987612,253.828526830888
sub-22,0.510324242424243,0.491049999999998,0.132371283268058,0.1,0.795064788732387,0.790099999999939,0.144656295205059,0.0869565217391304,55.7960062715251,60.9001120048757,9.28072285294967
sub-23,0.460141666666668,0.442250000000001,0.105573455837467,0.0416666666666667,0.503842857142861,0.484000000000037,0.134736493736336,0.210526315789474,9.49733389561749,9.44036178632805,27.6234567368593
sub-24,0.397768354430378,0.39439999999999,0.0805775920755482,0.176470588235294,0.656249333333337,0.64530000000002,0.0732628392461945,0,64.9827911205041,63.6156186612667,-9.07789950150842
sub-25,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN
sub-26,0.448113924050632,0.445300000000003,0.0840171269691369,0.0588235294117647,0.575883333333329,0.577249999999992,0.119082950140167,0,28.512706797359,29.6317089602489,41.7365178220278
sub-27,0.410762337662333,0.407699999999977,0.0560194398564623,0.105263157894737,0.461063157894738,0.440499999999929,0.088590274623655,0.210526315789474,12.245723529248,8.04513122392784,58.1420215029789
sub-28,0.538600000000001,0.527949999999997,0.0755128456295499,0.0384615384615385,0.599101428571425,0.581649999999968,0.12021972214296,0,11.2330910827003,10.1714177478873,59.2043329061293
sub-29,0.537084057971014,0.512699999999995,0.102292135893444,0,0.515427777777783,0.500150000000019,0.102457594419088,0.0833333333333333,-4.0321956818163,-2.44782523892651,0.16175097352227
sub-30,0.445225675675675,0.438899999999983,0.0630644941914177,0,0.459778378378375,0.421199999999999,0.11803569958033,0.0454545454545455,3.26861263798754,-4.03280929596362,87.1666475625097
sub-31,0.483794366197179,0.483000000000004,0.0735170978894877,0.04,0.530802739726034,0.513400000000047,0.0799833541234337,0,9.7166020965394,6.29399585922207,8.79558146278606
sub-32,0.64599178082192,0.615399999999994,0.135075655501961,0,0.747676388888891,0.740299999999991,0.144368605393961,0.0434782608695652,15.7408516773377,20.2957426064345,6.87981106400403
sub-33,0.44022459016393,0.434100000000001,0.0953594212365978,0.0571428571428571,0.464306578947372,0.444700000000012,0.0945677370432022,0.1,5.47038700733981,2.44183367887832,-0.830210778472881
sub-34,0.438360273972602,0.429699999999997,0.0486713260889505,0,0.511869999999994,0.481400000000008,0.107027813464869,0.04,16.7692490382892,12.0316499883666,119.899111171262
sub-35,0.568773972602745,0.550200000000018,0.115958086330314,0,0.621084375000001,0.632999999999981,0.145248674795206,0,9.19704573644258,15.0490730643331,25.2596342280574
sub-36,0.572823999999999,0.56219999999999,0.082710156309591,0,0.563410144927535,0.547699999999963,0.0972652651635319,0.037037037037037,-1.64341142697644,-2.57915332622321,17.5977286265304
sub-37,0.389602816901422,0.372200000000021,0.0693232098255899,0.04,0.611820000000003,0.577349999999967,0.147600076194947,0,57.0368522655748,55.1182160128788,112.915813572819
sub-38,0.573739130434781,0.561599999999999,0.0882397106439444,0.111111111111111,0.631875757575754,0.617400000000032,0.124858348121262,0,10.1329374374233,9.9358974359034,41.4990452825459
sub-39,0.404432876712333,0.396000000000015,0.0588173397873912,0,0.628919117647063,0.638550000000009,0.0867634548167964,0.0357142857142857,55.5064273606034,61.2499999999962,47.5133950811493
sub-40,0.417481944444446,0.391800000000007,0.100292704474522,0.0416666666666667,0.486351428571433,0.489899999999977,0.101679278014929,0.0769230769230769,16.4963982379246,25.0382848391957,1.38252682253639
sub-41,0.577723611111102,0.556849999999997,0.102634342731384,0.0416666666666667,0.626880597014922,0.615199999999959,0.163124676466708,0,8.50873756211533,10.4785848971827,58.9377123928577
sub-42,0.483243478260869,0.476799999999997,0.0911484398212154,0.0740740740740741,0.579983333333335,0.567749999999933,0.109853017301558,0.107142857142857,20.0188640766805,19.075083892604,20.5210067413449
sub-43,0.450958749999994,0.448649999999986,0.069227651777084,0,0.74046393442624,0.713399999999979,0.121119361282988,0,64.1977086432517,59.0103644266132,74.9580668617757
sub-44,0.474332911392408,0.458600000000018,0.0883288141875225,0,0.659009999999997,0.659100000000024,0.113803885659947,0,38.9340659633904,43.7200174443954,28.8411790724837
sub-45,0.392808108108102,0.393399999999986,0.0603356746211447,0.0454545454545455,0.552329333333329,0.54239999999993,0.117238767425229,0.0952380952380952,40.6104716100529,37.8749364514361,94.3108586443851
sub-46,0.579053521126761,0.575299999999999,0.0748112917966366,0,0.784720833333335,0.788999999999987,0.0751618402909001,0,35.5178415643467,37.1458369546305,0.468576983293523
sub-47,0.353987500000002,0.355199999999996,0.0586276768210759,0.125,0.438490410958914,0.430399999999963,0.0814327929515216,0.130434782608696,23.8717217299795,21.1711711711621,38.898208776111
sub-48,0.429676712328768,0.404099999999971,0.0686049490451337,0.0434782608695652,NaN,NaN,NaN,0,NaN,NaN,NaN
sub-49,0.4360038961039,0.419099999999958,0.0764670421636149,0,0.512443661971836,0.506000000000085,0.0945605667320392,0.04,17.531899726355,20.7349081365155,23.6618601380056
sub-50,0.580709333333333,0.574999999999989,0.0764245683104662,0,0.609198611111105,0.585450000000037,0.134669528212696,0.0416666666666667,4.90594453067259,1.81739130435629,76.2123505436311
sub-51,0.701531884057975,0.688499999999976,0.0896833621082811,0,0.595345070422541,0.587300000000027,0.0909561570816692,0,-15.1364201754026,-14.6986201888093,1.41920969895332
sub-52,0.537940579710143,0.538499999999999,0.0683949071866533,0,0.67403142857143,0.65504999999996,0.171432767522825,0,25.2984909475719,21.64345403899,150.651363638781
sub-53,0.523163934426228,0.512300000000039,0.0695221188610409,0,0.699238805970153,0.682099999999991,0.118434166542487,0.0769230769230769,33.6557740236878,33.1446418114268,70.3546561623222
sub-54,0.580541791044778,0.566499999999991,0.0974721174572094,0,0.669338157894732,0.656049999999993,0.131770920380392,0.1,15.2954306166574,15.8075904677854,35.1883223817723
sub-55,0.620031578947368,0.591600000000028,0.111675527273494,0.111111111111111,0.554484615384616,0.542400000000043,0.0771589252360837,0.0333333333333333,-10.5715524480272,-8.31643002028101,-30.9079373790456
sub-56,0.616310294117648,0.598849999999999,0.117727842152239,0.0869565217391304,0.654959740259736,0.632900000000063,0.123524041192646,0.0666666666666667,6.27110183149247,5.68589797112208,4.92338849879864
sub-57,0.409149350649346,0.397600000000011,0.0759706498440723,0.105263157894737,0.585007142857147,0.568500000000029,0.152425362416041,0.153846153846154,42.9813201288729,42.982897384309,100.637170708543
sub-58,0.462289855072463,0.452200000000005,0.0914971474080055,0.08,0.620626027397267,0.611499999999978,0.127045849146625,0.0476190476190476,34.2504103404962,35.2277753206483,38.852251404189
sub-59,0.449748000000003,0.429599999999994,0.0795636484291096,0.0476190476190476,0.556581944444452,0.516800000000046,0.182502738027984,0.173913043478261,23.7541788833855,20.2979515828803,129.379549117324
sub-60,0.523683333333332,0.519649999999995,0.0856057701754036,0.0416666666666667,0.51959866666667,0.497799999999984,0.1022381302082,0,-0.779987906176479,-4.20475319927094,19.4290174584232
sub-61,0.524554054054058,0.515949999999975,0.0703941548577307,0,0.563593150684939,0.546900000000051,0.100185212272029,0.0454545454545455,7.44234008471848,5.99864327940242,42.3203566752206
sub-62,0.49260277777778,0.484500000000011,0.0813405828274569,0,0.764360000000011,0.77819999999997,0.133388241610696,0.05,55.167618714652,60.6191950464297,63.9873197044147
sub-63,0.456075675675682,0.451650000000086,0.066426030156967,0,0.505072727272737,0.496050000000025,0.103546729020805,0.0666666666666667,10.7431845656899,9.83062105611219,55.8827597797439
sub-64,0.451129230769231,0.444100000000001,0.0630399965376075,0.032258064516129,0.587310958904111,0.550600000000031,0.146753120884508,0.0434782608695652,30.1868553058894,23.9810853411463,132.793669011324
